Date,S&P,Nasdaq
2016-01-04,2012.660034,4903.089844
2016-01-05,2016.709961,4891.430176
2016-01-06,1990.26001,4835.759766
2016-01-07,1943.089966,4689.430176
2016-01-08,1922.030029,4643.629883
2016-01-11,1923.670044,4637.990234
2016-01-12,1938.680054,4685.919922
2016-01-13,1890.280029,4526.060059
2016-01-14,1921.839966,4615
2016-01-15,1880.329956,4488.419922
2016-01-19,1881.329956,4476.950195
2016-01-20,1859.329956,4471.689941
2016-01-21,1868.98999,4472.060059
2016-01-22,1906.900024,4591.180176
2016-01-25,1877.079956,4518.490234
2016-01-26,1903.630005,4567.669922
2016-01-27,1882.949951,4468.169922
2016-01-28,1893.359985,4506.680176
2016-01-29,1940.23999,4613.950195
2016-02-01,1939.380005,4620.370117
2016-02-02,1903.030029,4516.950195
2016-02-03,1912.530029,4504.240234
2016-02-04,1915.449951,4509.560059
2016-02-05,1880.050049,4363.140137
2016-02-08,1853.439941,4283.75
2016-02-09,1852.209961,4268.759766
2016-02-10,1851.859985,4283.589844
2016-02-11,1829.079956,4266.839844
2016-02-12,1864.780029,4337.509766
2016-02-16,1895.579956,4435.959961
2016-02-17,1926.819946,4534.060059
2016-02-18,1917.829956,4487.540039
2016-02-19,1917.780029,4504.430176
2016-02-22,1945.5,4570.609863
2016-02-23,1921.27002,4503.580078
2016-02-24,1929.800049,4542.609863
2016-02-25,1951.699951,4582.200195
2016-02-26,1948.050049,4590.470215
2016-02-29,1932.22998,4557.950195
2016-03-01,1978.349976,4689.600098
2016-03-02,1986.449951,4703.419922
2016-03-03,1993.400024,4707.419922
2016-03-04,1999.98999,4717.02002
2016-03-07,2001.76001,4708.25
2016-03-08,1979.26001,4648.819824
2016-03-09,1989.26001,4674.379883
2016-03-10,1989.569946,4662.160156
2016-03-11,2022.189941,4748.470215
2016-03-14,2019.640015,4750.279785
2016-03-15,2015.930054,4728.669922
2016-03-16,2027.219971,4763.970215
2016-03-17,2040.589966,4774.990234
2016-03-18,2049.580078,4795.649902
2016-03-21,2051.600098,4808.870117
2016-03-22,2049.800049,4821.660156
2016-03-23,2036.709961,4768.859863
2016-03-24,2035.939941,4773.5
2016-03-28,2037.050049,4766.790039
2016-03-29,2055.01001,4846.620117
2016-03-30,2063.949951,4869.290039
2016-03-31,2059.73999,4869.850098
2016-04-01,2072.780029,4914.540039
2016-04-04,2066.129883,4891.799805
2016-04-05,2045.170044,4843.930176
2016-04-06,2066.659912,4920.720215
2016-04-07,2041.910034,4848.370117
2016-04-08,2047.599976,4850.689941
2016-04-11,2041.98999,4833.399902
2016-04-12,2061.719971,4872.089844
2016-04-13,2082.419922,4947.419922
2016-04-14,2082.780029,4945.890137
2016-04-15,2080.72998,4938.220215
2016-04-18,2094.340088,4960.02002
2016-04-19,2100.800049,4940.330078
2016-04-20,2102.399902,4948.129883
2016-04-21,2091.47998,4945.890137
2016-04-22,2091.580078,4906.22998
2016-04-25,2087.790039,4895.790039
2016-04-26,2091.699951,4888.279785
2016-04-27,2095.149902,4863.140137
2016-04-28,2075.810059,4805.290039
2016-04-29,2065.300049,4775.359863
2016-05-02,2081.429932,4817.589844
2016-05-03,2063.370117,4763.220215
2016-05-04,2051.120117,4725.640137
2016-05-05,2050.629883,4717.089844
2016-05-06,2057.139893,4736.160156
2016-05-09,2058.689941,4750.209961
2016-05-10,2084.389893,4809.879883
2016-05-11,2064.459961,4760.689941
2016-05-12,2064.110107,4737.330078
2016-05-13,2046.609985,4717.680176
2016-05-16,2066.659912,4775.459961
2016-05-17,2047.209961,4715.72998
2016-05-18,2047.630005,4739.120117
2016-05-19,2040.040039,4712.529785
2016-05-20,2052.320068,4769.560059
2016-05-23,2048.040039,4765.779785
2016-05-24,2076.060059,4861.060059
2016-05-25,2090.540039,4894.890137
2016-05-26,2090.100098,4901.77002
2016-05-27,2099.060059,4933.5
2016-05-31,2096.949951,4948.049805
2016-06-01,2099.330078,4952.25
2016-06-02,2105.26001,4971.359863
2016-06-03,2099.129883,4942.52002
2016-06-06,2109.409912,4968.709961
2016-06-07,2112.129883,4961.75
2016-06-08,2119.120117,4974.640137
2016-06-09,2115.47998,4958.620117
2016-06-10,2096.070068,4894.549805
2016-06-13,2079.060059,4848.439941
2016-06-14,2075.320068,4843.549805
2016-06-15,2071.5,4834.930176
2016-06-16,2077.98999,4844.919922
2016-06-17,2071.219971,4800.339844
2016-06-20,2083.25,4837.209961
2016-06-21,2088.899902,4843.759766
2016-06-22,2085.449951,4833.319824
2016-06-23,2113.320068,4910.040039
2016-06-24,2037.410034,4707.97998
2016-06-27,2000.540039,4594.439941
2016-06-28,2036.089966,4691.870117
2016-06-29,2070.77002,4779.25
2016-06-30,2098.860107,4842.669922
2016-07-01,2102.949951,4862.569824
2016-07-05,2088.550049,4822.899902
2016-07-06,2099.72998,4859.160156
2016-07-07,2097.899902,4876.810059
2016-07-08,2129.899902,4956.759766
2016-07-11,2137.159912,4988.640137
2016-07-12,2152.139893,5022.819824
2016-07-13,2152.429932,5005.72998
2016-07-14,2163.75,5034.060059
2016-07-15,2161.73999,5029.589844
2016-07-18,2166.889893,5055.779785
2016-07-19,2163.780029,5036.370117
2016-07-20,2173.02002,5089.930176
2016-07-21,2165.169922,5073.899902
2016-07-22,2175.030029,5100.160156
2016-07-25,2168.47998,5097.629883
2016-07-26,2169.179932,5110.049805
2016-07-27,2166.580078,5139.810059
2016-07-28,2170.060059,5154.97998
2016-07-29,2173.600098,5162.129883
2016-08-01,2170.840088,5184.200195
2016-08-02,2157.030029,5137.72998
2016-08-03,2163.790039,5159.740234
2016-08-04,2164.25,5166.25
2016-08-05,2182.870117,5221.120117
2016-08-08,2180.889893,5213.140137
2016-08-09,2181.73999,5225.47998
2016-08-10,2175.48999,5204.580078
2016-08-11,2185.790039,5228.399902
2016-08-12,2184.050049,5232.890137
2016-08-15,2190.149902,5262.02002
2016-08-16,2178.149902,5227.109863
2016-08-17,2182.219971,5228.660156
2016-08-18,2187.02002,5240.149902
2016-08-19,2183.870117,5238.379883
2016-08-22,2182.639893,5244.600098
2016-08-23,2186.899902,5260.080078
2016-08-24,2175.439941,5217.689941
2016-08-25,2172.469971,5212.200195
2016-08-26,2169.040039,5218.919922
2016-08-29,2180.379883,5232.330078
2016-08-30,2176.120117,5222.990234
2016-08-31,2170.949951,5213.220215
2016-09-01,2170.860107,5227.209961
2016-09-02,2179.97998,5249.899902
2016-09-06,2186.47998,5275.910156
2016-09-07,2186.159912,5283.930176
2016-09-08,2181.300049,5259.47998
2016-09-09,2127.810059,5125.910156
2016-09-12,2159.040039,5211.890137
2016-09-13,2127.02002,5155.25
2016-09-14,2125.77002,5173.77002
2016-09-15,2147.26001,5249.689941
2016-09-16,2139.159912,5244.569824
2016-09-19,2139.120117,5235.029785
2016-09-20,2139.76001,5241.350098
2016-09-21,2163.120117,5295.180176
2016-09-22,2177.179932,5339.52002
2016-09-23,2164.689941,5305.75
2016-09-26,2146.100098,5257.490234
2016-09-27,2159.929932,5305.709961
2016-09-28,2171.370117,5318.549805
2016-09-29,2151.129883,5269.149902
2016-09-30,2168.27002,5312
2016-10-03,2161.199951,5300.870117
2016-10-04,2150.48999,5289.660156
2016-10-05,2159.72998,5316.02002
2016-10-06,2160.77002,5306.850098
2016-10-07,2153.73999,5292.399902
2016-10-10,2163.659912,5328.669922
2016-10-11,2136.72998,5246.790039
2016-10-12,2139.179932,5239.02002
2016-10-13,2132.550049,5213.330078
2016-10-14,2132.97998,5214.160156
2016-10-17,2126.5,5199.819824
2016-10-18,2139.600098,5243.839844
2016-10-19,2144.290039,5246.410156
2016-10-20,2141.340088,5241.830078
2016-10-21,2141.159912,5257.399902
2016-10-24,2151.330078,5309.830078
2016-10-25,2143.159912,5283.399902
2016-10-26,2139.429932,5250.27002
2016-10-27,2133.040039,5215.970215
2016-10-28,2126.409912,5190.100098
